ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
1,,jianchuan,1732,xẽ⁵⁵,xẽ⁵⁵,x ẽ ⁵⁵,,Allen2007,,
2,,eryuan,1732,xe⁵⁵,xe⁵⁵,x e ⁵⁵,,Allen2007,,
3,,heqing,1732,xʰẽ⁵⁵,xʰẽ⁵⁵,xʰ ẽ ⁵⁵,,Allen2007,,
4,,lanping,1732,xẽ⁵⁵kʰao³¹,xẽ⁵⁵kʰao³¹,x ẽ ⁵⁵ kʰ a o ³¹,,Allen2007,,
5,,qiliqiao,1732,xe⁵⁵,xe⁵⁵,x e ⁵⁵,,Allen2007,,
6,,yunlong,1732,xe⁵⁵,xe⁵⁵,x e ⁵⁵,,Allen2007,,
7,,xiangyun,1732,xẽ⁵⁵,xẽ⁵⁵,x ẽ ⁵⁵,,Allen2007,,
8,,luobenzhuo,1732,xẽ⁵⁵,xẽ⁵⁵,x ẽ ⁵⁵,,Allen2007,,
9,,zhoucheng,1732,xe⁵⁵,xe⁵⁵,x e ⁵⁵,,Allen2007,,
10,,jianchuan,609,sue⁴⁴wa⁴²tsɿ³³,sue⁴⁴wa⁴²tsɿ³³,s u e ⁴⁴ w a ⁴² ts ɿ ³³,,Allen2007,,
11,,eryuan,609,tʂɔ⁴²pɔ⁴²tsɿ³³,tʂɔ⁴²pɔ⁴²tsɿ³³,tʂ ɔ ⁴² p ɔ ⁴² ts ɿ ³³,,Allen2007,,
12,,heqing,609,sʰue⁴⁴wa⁴²tsɿ³³,sʰue⁴⁴wa⁴²tsɿ³³,sʰ u e ⁴⁴ w a ⁴² ts ɿ ³³,,Allen2007,,
13,,lanping,609,po³³tɛ⁴⁴,po³³tɛ⁴⁴,p o ³³ t ɛ ⁴⁴,,Allen2007,,
